bid,pid,fecha_atraque
109,17,2020-09-28 00:55:22
72,17,2021-06-30 03:51:12
58,18,2020-12-01 01:35:11
145,18,2021-07-16 11:32:07
225,18,2020-11-20 00:46:32
81,18,2021-08-07 02:44:03
225,18,2020-10-01 05:45:37
157,18,2021-06-09 09:03:33
200,18,2020-10-22 15:52:56
22,18,2021-07-28 06:47:43
175,18,2020-11-18 13:16:56
90,19,2021-05-14 15:32:18
72,19,2020-11-18 00:28:16
92,19,2021-01-15 06:04:58
177,19,2021-01-24 00:13:22
167,19,2021-02-17 20:47:53
232,19,2021-08-21 12:59:05
191,19,2020-11-06 19:02:59
201,20,2021-05-23 12:26:50
243,20,2021-07-03 18:49:48
187,20,2021-06-24 13:09:23
101,20,2021-04-09 21:23:48
187,20,2020-11-23 06:42:57
14,20,2020-10-11 07:01:08
100,20,2021-02-03 15:23:39
133,20,2021-05-31 06:14:19
2,20,2021-05-02 20:43:18
27,20,2021-02-17 20:04:29
113,20,2021-07-07 04:10:59
61,20,2020-09-11 01:25:05
62,20,2021-06-09 18:51:26
199,20,2021-05-18 14:56:49
14,20,2020-11-28 20:50:03
27,21,2021-05-11 07:46:01
33,21,2021-06-17 22:08:12
78,21,2020-12-08 06:17:17
147,21,2021-04-20 14:54:53
213,21,2021-02-08 07:00:31
78,21,2021-06-24 03:33:47
32,21,2021-03-11 23:51:30
121,21,2020-11-26 04:07:42
157,21,2021-04-30 19:32:56
105,21,2020-12-03 11:38:45
96,22,2021-01-03 19:07:54
160,22,2021-02-14 15:48:52
106,22,2021-04-27 20:40:08
246,22,2020-12-22 09:41:26
95,22,2021-04-09 13:05:24
40,22,2021-08-14 23:55:17
106,22,2021-02-25 14:34:53
155,22,2021-07-22 17:00:32
68,24,2021-02-15 14:59:49
21,24,2021-04-04 03:18:17
86,24,2021-03-19 17:04:57
32,24,2020-11-25 00:18:10
38,24,2021-06-02 15:20:26
149,24,2020-10-14 22:20:18
128,24,2020-10-20 06:32:42
134,24,2021-07-24 04:03:04
74,24,2021-07-08 05:07:37
142,24,2021-06-13 22:33:59
65,24,2021-05-17 14:57:22
79,25,2021-06-25 07:28:16
200,25,2021-07-25 12:54:03
104,25,2021-08-28 00:32:31
246,25,2020-11-19 01:15:38
228,25,2021-06-02 05:22:15
74,26,2021-05-06 16:28:39
84,26,2021-01-22 01:39:53
56,26,2021-06-11 16:25:26
159,26,2021-08-01 14:16:38
227,26,2021-01-28 17:32:29
135,26,2021-01-15 16:42:00
244,26,2020-12-10 21:07:04
148,26,2020-09-17 20:34:36
13,27,2021-09-02 15:02:20
44,27,2020-09-14 05:30:30
90,27,2021-02-15 06:04:06
58,27,2021-04-30 02:43:38
155,27,2021-07-09 01:26:55
28,28,2021-07-28 01:06:27
174,28,2021-06-13 13:10:02
221,28,2020-11-04 12:02:39
59,28,2021-02-14 12:26:47
140,28,2021-03-02 20:16:13
56,28,2020-10-11 18:15:20
72,28,2020-11-11 00:02:58
54,28,2021-05-09 14:12:03
126,28,2021-08-28 16:30:02
185,29,2021-05-30 22:59:28
84,29,2020-12-02 16:55:30
10,30,2021-04-01 00:09:50
122,30,2021-01-11 15:52:07
191,30,2020-10-21 05:15:48
27,30,2021-08-05 17:59:49
244,30,2021-08-05 12:11:54
7,30,2021-04-19 19:44:31
69,30,2021-01-15 09:06:19
137,30,2020-11-20 22:55:06
237,30,2020-12-07 09:39:30
143,31,2020-12-02 17:01:05
241,32,2021-05-24 12:49:41
19,32,2021-02-20 12:14:48
156,32,2021-04-07 10:04:16
136,32,2021-06-29 12:15:27
91,32,2020-09-14 12:17:58
184,32,2020-10-19 02:27:55
158,32,2020-11-27 02:42:01
194,32,2021-06-11 09:49:42
192,32,2020-09-11 23:06:48
26,32,2021-06-20 01:14:23
26,32,2021-05-04 06:11:53
83,32,2021-03-09 19:08:47
94,33,2020-09-23 01:18:31
195,33,2021-01-04 14:48:25
67,33,2021-02-25 14:41:12
184,33,2020-10-05 00:09:48
234,33,2020-12-10 02:59:10
186,33,2021-06-02 13:07:11
226,33,2021-05-05 05:11:36
28,33,2021-02-24 21:31:19
150,34,2020-11-21 03:49:49
54,35,2021-09-06 04:02:26
68,35,2021-01-18 22:09:01
182,35,2021-07-03 19:08:51
229,36,2021-01-21 15:59:22
183,37,2021-06-07 14:27:48
84,37,2020-09-21 04:29:46
59,37,2021-06-29 02:41:47
58,38,2020-09-21 06:54:51
206,38,2021-05-04 20:03:46
204,38,2020-11-11 15:25:27
164,38,2021-07-18 21:21:36
113,39,2021-04-10 01:14:24
3,40,2020-11-01 17:45:43
12,40,2020-12-29 23:57:01
56,40,2021-03-06 19:20:11
47,40,2020-10-17 21:47:40
231,40,2020-11-09 07:12:28
219,41,2020-10-23 11:37:53
105,41,2021-02-05 06:36:21
224,42,2020-12-08 08:15:25
117,42,2021-05-28 02:51:06
7,43,2020-12-05 09:06:20
95,43,2021-04-27 22:15:53
